RecipeName,0
टमाटर पुलियोगरे रेसिपी - Spicy Tomato Rice (Recipe In Hindi),0
Udupi Style Ash Gourd Coconut Curry Recipe,1
Andhra Style Ingavu Chaaru Recipe - Asafoetida Flavored Tamarind Rasam,2
Saunf Aloo (Fennel Potato Curry) Recipe,3
चेट्टिनाड वेजिटेबल पुलाव रेसिपी - Chettinad Vegetable Pulao Recipe,4
Mini Dal Samosa Curry/Sabzi Recipe,5
Mini Dal Pakwan Chaat Recipe - A Perfect Party Snack,6
सुंडकई मेथी सांबर रेसिपी - Sundakkai And Methi Leaves Sambar Recipe,7
Kodava Mudi Chekke Barthad Recipe - Raw Jackfruit & Black Chickpea Stir Fry,8
Whole Wheat Crepe Recipe With Herbed Vegetables,9
Makki and Methi Roti Recipe,10
Cabbage and Carrot Sambharo Recipe - Gujarati Vegetable Stir Fry,11
Rajasthani Khooba Roti Recipe,12
Chanar Dalna Recipe -Bengali Style Paneer & Potato Gravy,13
Bengali Mooli Aloo Ki Sabzi  Recipe,14
चकुंदर सांबर रेसिपी - Beetroot Sambar (Recipe In Hindi),15
टोफू पुलाव रेसिपी - Tofu Pulao (Recipe In Hindi),16
Dubuk Vade Recipe - Khandeshi Gram Flour Dumpling Curry,17
Matar Paneer Kachori Korma Recipe - Green Peas And Paneer Kachori Curry,18
Thengai Sadam Recipe (A Quick and Healthy Coconut Rice),19
Karwar Style Ambade Udid Methi Recipe - Hog Plum Curry,20
Roasted Cauliflower Recipe,21
Crunchy Ginger Capsicum Rice Recipe,22
White Pumpkin Mor Kuzhambu Recipe - Kerala Style White Pumpkin Curry,23
पनीर बटर मसाला बिरयानी रेसिपी - Layered Paneer Butter Masala Biryani Recipe,24
कोब्बारी चारु रेसिपी - Kobbari Chaaru Recipe,25
Appalam Vatha Kuzhambu Recipe - Papad In Tamarind Gravy,26
Kashmiri Style Modur Pulao With Pomegranate Recipe,27
North Indian Style Mushroom Matar Masala Recipe,28
Dhania Chole Masala Recipe - Chickpeas In Fresh Coriander Gravy,29
शिमला मिर्च मसाला पोरियल रेसिपी - Capsicum Masala Poriyal (Recipe In Hindi),30
केरला स्टाइल कच्चा केला और सुरन कोटु करी रेसिपी - Kerala Style Plantain & Yam Thoran Recipe,31
Dahi Wale Paneer Recipe - Paneer In A Curd Gravy,32
Pudina Mushroom And Soya Biryani Recipe,33
Lauki Ka Salan Recipe - Bottle Gourd Salan Recipe,34
Togari Bele Tovve Recipe  - Toor Dal Rasam,35
Mushroom Paratha Recipe,36
Palak Chana Dal Recipe - Healthy Spinach Gram Dal Recipe,37
Pasi Paruppu Kosumalli Recipe (Spiced Lentil Salad Recipe),38
Ragi Masala Roti Recipe,39
Paneer Matar Butter Masala (Indian Cottage Cheese and Peas Masala With Butter) Recipe,40
Thandu Keerai Puli Kuzhambu Recipe - Amaranth Greens in Tangy Curry,41
माँ की दाल रेसिपी - Maa Ki Dal (Recipe In Hindi),42
Palak Mushroom Makhani Recipe - Creamy Spinach & Mushroom,43
Dahi Bhalla Papdi Chaat Recipe,44
छोले मसाला रेसिपी - Dry Masala Chickpeas (Recipe In Hindi),45
व्रत वाले आलू पनीर रेसिपी - Potato Paneer Curry Without Onion And Garlic Recipe (Recipe In Hindi),46
कटाची आमटी रेसिपी - Katachi Amti (Recipe In Hindi),47
गोभी मटर की भुर्जी रेसिपी - Cauliflower Matar Bhurji (Recipe In Hindi),48
Kashmiri Style Paneer Masala Recipe,49
Aromatic Vegetable Pulao Recipe,50
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,51
बंगाली आलू दम रेसिपी - Bengali Aloo Dum Recipe,52
Hyderabad Soy Biryani Recipe With Vegetables & Palak,53
साउथ इंडियन पापड करी रेसिपी - Appalam Vathal Kuzhambu (Recipe In Hindi),54
Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,55
Dahi Wale Aloo Recipe (Indian Yogurt-based Potato Curry),56
Kovakkai Podi Curry Recipe - Tamil Nadu Style Ivy Gourd Stir Fry,57
बिरयानी मसाला पाउडर रेसिपी - Biryani Masala Powder Recipe,58
Andaman Style Steamed Garlic Prawns Recipe,59
Aloo Matar Masala Khichdi Recipe,60
Potato Vindaloo Recipe (Spicy Goan Potato Curry),61
Aloo Potol Posto Recipe (Aloo Parwal in Poppy Seed Masala Recipe),62
Aloo Bhey Ki Sabzi Recipe (Potato Lotus Stem Curry),63
Baingan Sarson Ka Saag Recipe,64
पनीर भरमा भिन्डी रेसिपी - Stuffed Bhindi With Paneer (Recipe In Hindi),65
Bael Ka Sharbat Recipe - Wood Apple Squash Drink,66
Safed Achari Baingan Recipe - White Aubergine in pickled spices,67
Jodhpuri Aloo Recipe,68
